Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz,33565571.0,12374740.0,Linux,x86_64,CPython,3.6.5,2018-05-17 09:32:35.172114
Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz,30554479.0,10864744.0,Linux,x86_64,CPython,3.6.5,2018-05-30 19:05:23.273841
Intel(R) Pentium(R) CPU G2030 @ 3.00GHz,32770771.0,8281061.0,Windows,AMD64,CPython,3.6.5,2018-06-06 09:51:26.684203
Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,47460836.0,23525573.0,Darwin,x86_64,CPython,2.7.15,2018-06-11 11:54:15.886004
Intel(R) Core(TM) i3-4005U CPU @ 1.70GHz,30884236.0,10131041.0,Linux,x86_64,CPython,3.4.3,2018-06-11 22:15:00.673913
Intel(R) Core(TM) i3-4010U CPU @ 1.70GHz,20327483.0,5993226.0,Windows,AMD64,CPython,3.6.4,2018-06-11 22:17:42.835780
"Intel64 Family 6 Model 158 Stepping 9, GenuineIntel",39116599.0,13730583.0,Windows,AMD64,CPython,2.7.15,2018-06-14 16:34:08.054759
Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,42364808.0,12210401.0,Windows,AMD64,CPython,3.6.4,2018-06-16 20:33:47.088805
Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz,48230348.0,25575492.0,Darwin,x86_64,CPython,2.7.10,2018-06-18 21:50:49.322777
Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz,18453573.0,7360531.0,Linux,i686,CPython,3.6.5,2018-07-12 19:29:55.293892
Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,63052338.0,21774961.0,Linux,x86_64,CPython,3.6.5,2018-07-12 19:30:33.382283
Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,41787390.0,11862223.0,Windows,AMD64,CPython,3.6.2,2018-07-12 22:58:01.724946
AMD Ryzen 5 1600 Six-Core Processor,43950724.0,17359507.0,Windows,AMD64,CPython,3.6.5,2018-07-14 10:42:21.490294
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,45125335.0,13634808.0,Windows,AMD64,CPython,3.7.0,2018-07-22 05:54:01.197698
Intel(R) Core(TM) i7-4702MQ CPU @ 2.20GHz,43876138.0,15733356.0,Windows,AMD64,CPython,3.6.5,2018-07-26 00:01:10.136082
Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz,34278033.0,12802541.0,Linux,x86_64,CPython,3.7.0,2018-08-05 09:28:13.145229
Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,34004795.0,10226029.0,Windows,AMD64,CPython,3.7.0,2018-08-14 19:39:18.568433
Intel(R) Xeon(R) CPU @ 2.30GHz,53682291.0,19234744.0,Linux,x86_64,CPython,3.6.5,2018-08-14 22:12:13.161125
Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz,35249966.0,11293348.0,Windows,AMD64,CPython,3.7.0,2018-08-23 09:35:35.198494
